IP,Subnet,UDP_Packet_Count,TCP_Packet_Count,ICMP_Packet_Count,Amplification_Factor,Attack_Type
241.7.71.147,different,337,144,38,9,APDoS
192.168.12.155,same,11,15,6,1,Normal
157.71.178.170,different,208,9,1,1,DoS
192.168.56.7,same,12,21,6,1,Normal
142.21.179.27,different,52,2,0,14,DrDoS
168.245.192.244,different,70,457,82,6,APDoS
148.183.226.36,different,45,0,0,9,DrDoS
192.168.229.211,same,10,11,8,1,Normal
113.76.254.21,different,457,483,91,8,APDoS
192.168.235.57,same,3,20,6,1,Normal
29.105.119.81,different,40,4,1,42,DrDoS
192.168.131.254,same,12,15,2,1,Normal
192.168.142.237,same,7,25,7,1,Normal
192.168.44.212,same,9,23,3,1,Normal
3.231.218.59,different,845,13,5,1,DDoS
192.168.134.202,same,9,27,2,1,Normal
189.40.68.4,different,66,2,4,7,DrDoS
192.168.144.188,same,8,18,7,1,Normal
192.168.237.125,same,13,21,2,1,Normal
192.168.216.111,same,12,22,5,1,Normal
52.128.134.145,different,176,275,52,7,APDoS
192.168.2.29,same,13,15,4,1,Normal
151.195.148.21,different,306,0,2,1,DoS
59.82.49.124,different,339,5,4,1,DoS
192.168.116.118,same,17,20,4,1,Normal
215.250.215.29,different,63,2,4,44,DrDoS
87.30.163.209,different,238,4,2,1,DoS
192.168.4.174,same,18,20,6,1,Normal
192.168.190.186,same,8,18,5,1,Normal
15.210.72.196,different,24,2,0,5,DrDoS
192.168.158.18,same,10,24,4,1,Normal
192.168.80.247,same,9,20,3,1,Normal
43.30.116.193,different,261,125,26,2,APDoS
192.168.3.72,same,13,20,4,1,Normal
202.241.54.156,different,279,1,3,1,DoS
192.168.123.3,same,15,26,6,1,Normal
89.111.75.137,different,19,1,0,30,DrDoS
192.168.59.223,same,11,20,5,1,Normal
192.168.90.52,same,13,25,4,1,Normal
192.168.124.230,same,8,17,4,1,Normal
21.107.107.241,different,16,1,0,46,DrDoS
192.168.101.105,same,3,22,7,1,Normal
224.133.245.65,different,326,8,3,1,DoS
192.168.29.31,same,7,18,1,1,Normal
192.168.235.163,same,15,12,5,1,Normal
242.66.115.148,different,251,425,71,6,APDoS
75.216.233.176,different,441,192,41,5,APDoS
30.12.235.21,different,50,0,2,43,DrDoS
192.168.62.148,same,12,16,4,1,Normal
192.168.144.99,same,10,22,7,1,Normal
174.180.25.61,different,428,116,63,6,APDoS
192.168.235.108,same,8,25,6,1,Normal
192.168.27.136,same,12,26,8,1,Normal
192.168.142.78,same,7,23,3,1,Normal
56.1.104.173,different,217,417,33,3,APDoS
192.168.113.194,same,13,18,4,1,Normal
192.168.249.131,same,5,23,7,1,Normal
192.168.51.146,same,14,18,2,1,Normal
215.236.146.128,different,156,7,4,1,DoS
192.168.198.112,same,5,21,3,1,Normal
192.168.137.54,same,4,14,4,1,Normal
192.168.30.194,same,11,20,6,1,Normal
192.168.37.62,same,3,15,7,1,Normal
192.168.69.65,same,10,15,9,1,Normal
192.168.40.48,same,16,19,8,1,Normal
192.168.194.42,same,5,10,4,1,Normal
50.75.222.177,different,238,2,0,1,DoS
192.168.4.123,same,9,14,7,1,Normal
223.115.8.8,different,159,452,60,8,APDoS
192.168.195.31,same,7,15,9,1,Normal
166.250.244.205,different,170,395,93,5,APDoS
109.13.135.48,different,446,14,2,1,DDoS
162.241.50.232,different,820,13,9,1,DDoS
200.112.54.119,different,169,9,4,1,DoS
192.168.152.56,same,7,23,2,1,Normal
213.111.84.4,different,114,9,2,1,DoS
192.168.246.185,same,15,22,4,1,Normal
192.168.49.104,same,18,17,8,1,Normal
192.168.7.172,same,11,20,6,1,Normal
148.4.134.18,different,617,10,1,1,DDoS
192.168.100.173,same,9,17,6,1,Normal
8.185.14.233,different,450,6,1,1,DoS
155.164.48.64,different,43,1,1,14,DrDoS
192.168.171.17,same,8,15,2,1,Normal
192.168.160.140,same,3,21,1,1,Normal
15.27.131.36,different,424,370,56,1,APDoS
44.178.96.124,different,94,1,3,9,DrDoS
53.5.36.2,different,298,4,2,1,DoS
218.168.178.245,different,224,318,85,5,APDoS
68.58.218.242,different,19,4,3,6,DrDoS
192.168.45.185,same,11,27,4,1,Normal
173.34.209.42,different,694,5,7,1,DDoS
85.145.77.143,different,35,4,3,36,DrDoS
192.168.251.167,same,10,21,2,1,Normal
192.168.238.78,same,8,16,3,1,Normal
153.102.201.24,different,114,166,34,4,APDoS
192.168.65.67,same,13,21,5,1,Normal
41.244.6.137,different,309,8,0,1,DoS
82.231.20.143,different,177,244,75,8,APDoS
104.250.67.160,different,243,1,1,1,DoS
60.117.166.44,different,259,85,28,4,APDoS
222.216.222.155,different,147,7,2,1,DDoS
28.63.67.223,different,129,100,83,6,APDoS
237.200.166.100,different,427,277,28,3,APDoS
192.168.140.25,same,9,17,7,1,Normal
30.185.106.180,different,46,0,2,7,DrDoS
192.168.228.145,same,12,27,3,1,Normal
192.168.152.85,same,12,20,7,1,Normal
188.122.75.251,different,345,2,1,1,DoS
176.179.151.93,different,159,387,87,2,APDoS
192.168.19.34,same,15,11,4,1,Normal
129.231.135.249,different,151,0,2,1,DoS
192.168.142.237,same,9,16,6,1,Normal
192.168.59.52,same,8,21,5,1,Normal
192.168.20.95,same,12,25,8,1,Normal
80.18.225.49,different,127,15,4,1,DDoS
192.168.108.176,same,9,16,7,1,Normal
8.52.141.199,different,16,0,2,18,DrDoS
192.168.171.86,same,10,26,9,1,Normal
57.0.155.113,different,367,14,9,1,DDoS
192.168.158.198,same,13,18,5,1,Normal
214.72.174.104,different,39,2,3,34,DrDoS
192.168.64.59,same,7,24,3,1,Normal
192.168.99.213,same,13,16,7,1,Normal
162.22.60.223,different,46,4,0,11,DrDoS
192.168.169.166,same,12,12,3,1,Normal
192.168.128.51,same,7,24,4,1,Normal
234.2.139.65,different,36,2,1,17,DrDoS
192.168.31.212,same,9,17,5,1,Normal
66.118.111.15,different,461,1,3,1,DoS
192.168.141.114,same,10,14,4,1,Normal
192.168.93.105,same,11,17,3,1,Normal
92.148.63.111,different,499,429,68,3,APDoS
192.168.182.100,same,9,19,6,1,Normal
192.168.210.71,same,6,19,4,1,Normal
192.168.96.148,same,10,17,8,1,Normal
192.168.128.246,same,14,11,6,1,Normal
192.168.181.112,same,12,16,7,1,Normal
47.232.171.221,different,236,99,78,8,APDoS
124.89.231.67,different,11,0,2,44,DrDoS
192.168.64.190,same,11,10,6,1,Normal
192.168.142.114,same,11,16,7,1,Normal
1.12.29.197,different,323,127,22,7,APDoS
192.168.198.116,same,12,19,4,1,Normal
161.201.195.143,different,868,5,4,1,DDoS
192.168.219.163,same,10,15,1,1,Normal
192.168.73.243,same,14,18,2,1,Normal
192.168.91.166,same,7,26,5,1,Normal
151.39.121.97,different,176,5,4,1,DoS
192.168.226.146,same,7,17,3,1,Normal
69.132.188.211,different,47,3,1,46,DrDoS
113.29.66.220,different,210,9,2,1,DoS
192.168.82.170,same,7,19,2,1,Normal
192.168.169.29,same,10,24,6,1,Normal
192.168.134.22,same,14,25,10,1,Normal
192.168.43.191,same,6,21,5,1,Normal
192.168.251.230,same,12,31,11,1,Normal
134.86.4.242,different,436,9,2,1,DDoS
192.168.123.43,same,11,20,4,1,Normal
112.34.36.175,different,149,6,3,1,DoS
218.88.208.15,different,982,12,3,1,DDoS
22.208.205.78,different,962,7,1,1,DDoS
94.213.79.94,different,641,5,5,1,DDoS
192.168.226.134,same,12,16,6,1,Normal
192.168.57.73,same,13,22,7,1,Normal
192.168.119.69,same,6,14,6,1,Normal
164.162.215.167,different,469,12,3,1,DDoS
59.230.176.90,different,331,3,2,1,DoS
43.98.203.33,different,917,13,0,1,DDoS
45.87.142.95,different,578,11,5,1,DDoS
90.77.139.114,different,77,2,2,17,DrDoS
192.168.54.82,same,18,26,2,1,Normal
192.168.252.184,same,9,20,1,1,Normal
192.168.229.248,same,16,20,6,1,Normal
71.137.24.172,different,811,2,9,1,DDoS
192.168.119.204,same,6,19,5,1,Normal
160.153.120.124,different,31,4,4,16,DrDoS
192.168.160.244,same,7,20,7,1,Normal
71.136.235.191,different,32,1,0,18,DrDoS
192.168.111.74,same,10,24,4,1,Normal
43.199.53.202,different,40,3,0,41,DrDoS
192.168.17.222,same,12,23,8,1,Normal
192.168.249.91,same,9,19,9,1,Normal
144.78.17.71,different,56,2,2,44,DrDoS
163.68.49.12,different,85,4,2,23,DrDoS
235.176.111.128,different,85,283,63,9,APDoS
192.168.254.227,same,13,25,4,1,Normal
168.6.132.239,different,347,7,0,1,DoS
201.176.157.41,different,52,263,49,3,APDoS
48.70.251.199,different,29,0,4,39,DrDoS
192.168.39.205,same,11,27,3,1,Normal
192.168.237.80,same,9,13,3,1,Normal
243.137.134.201,different,98,4,1,30,DrDoS
192.168.60.108,same,12,21,5,1,Normal
31.234.241.235,different,714,3,1,1,DDoS
228.190.127.254,different,51,4,4,7,DrDoS
232.183.102.19,different,55,0,4,5,DrDoS
192.168.150.47,same,9,15,5,1,Normal
213.132.246.157,different,96,406,31,9,APDoS
216.233.59.198,different,237,9,2,1,DoS
192.168.49.2,same,20,16,2,1,Normal
192.168.106.41,same,7,16,8,1,Normal
192.168.24.245,same,10,18,5,1,Normal
192.168.224.75,same,9,16,7,1,Normal
192.168.96.75,same,6,18,4,1,Normal
192.168.45.187,same,11,17,7,1,Normal
234.94.110.186,different,410,1,1,1,DDoS
71.232.103.89,different,311,498,89,4,APDoS
239.219.149.127,different,441,0,4,1,DoS
192.168.17.77,same,7,26,9,1,Normal
192.168.64.93,same,7,17,1,1,Normal
192.168.47.23,same,11,23,9,1,Normal
192.168.30.77,same,15,20,5,1,Normal
182.75.127.13,different,88,6,1,1,DoS
192.168.91.142,same,13,17,8,1,Normal
192.168.171.40,same,12,20,5,1,Normal
192.168.99.6,same,14,26,3,1,Normal
192.168.179.164,same,5,17,6,1,Normal
192.168.203.195,same,13,17,4,1,Normal
192.168.93.69,same,12,16,8,1,Normal
216.246.4.191,different,78,97,25,9,APDoS
29.179.45.153,different,283,72,43,3,APDoS
245.33.159.117,different,334,58,75,9,APDoS
192.168.109.69,same,14,26,5,1,Normal
192.168.39.232,same,7,20,5,1,Normal
192.168.184.126,same,16,16,7,1,Normal
192.168.131.77,same,14,19,5,1,Normal
23.29.170.247,different,70,8,1,1,DoS
121.68.133.115,different,876,15,1,1,DDoS
192.168.224.138,same,11,18,2,1,Normal
141.166.43.28,different,473,321,59,3,APDoS
192.168.67.92,same,7,20,6,1,Normal
192.168.94.250,same,12,26,6,1,Normal
192.168.47.235,same,12,18,5,1,Normal
192.168.236.176,same,6,23,3,1,Normal
192.168.166.161,same,7,19,4,1,Normal
26.78.89.220,different,376,209,85,3,APDoS
192.168.31.9,same,11,20,5,1,Normal
192.168.213.100,same,7,21,5,1,Normal
97.52.144.64,different,261,12,7,1,DDoS
192.168.247.37,same,4,21,4,1,Normal
78.65.181.205,different,244,207,27,6,APDoS
53.82.143.156,different,13,2,0,20,DrDoS
192.168.63.33,same,9,21,10,1,Normal
192.168.168.197,same,13,18,5,1,Normal
192.168.140.236,same,7,23,11,1,Normal
192.168.165.245,same,11,16,3,1,Normal
192.168.66.91,same,11,16,7,1,Normal
239.55.156.159,different,498,1,1,1,DoS
192.168.179.40,same,8,22,7,1,Normal
192.168.232.235,same,20,23,3,1,Normal
171.118.133.55,different,405,2,3,1,DoS
192.168.173.163,same,10,14,2,1,Normal
192.168.87.197,same,7,23,6,1,Normal
14.102.35.34,different,137,195,25,9,APDoS
192.168.254.25,same,10,14,3,1,Normal
192.168.55.151,same,11,19,4,1,Normal
192.168.230.45,same,7,12,5,1,Normal
192.168.59.54,same,11,20,5,1,Normal
192.168.135.174,same,15,24,2,1,Normal
226.188.107.239,different,26,0,2,12,DrDoS
197.11.165.146,different,331,86,79,9,APDoS
241.252.89.243,different,85,0,0,21,DrDoS
221.52.117.109,different,208,7,4,1,DoS
192.168.44.18,same,10,18,7,1,Normal
192.168.132.239,same,11,15,3,1,Normal
192.168.145.103,same,12,16,7,1,Normal
192.168.177.103,same,9,15,5,1,Normal
154.52.141.64,different,89,1,3,14,DrDoS
192.168.124.44,same,18,10,7,1,Normal
192.168.41.77,same,11,21,4,1,Normal
239.179.15.99,different,983,12,0,1,DDoS
174.97.97.219,different,192,1,0,1,DoS
192.168.99.47,same,10,17,5,1,Normal
98.120.151.198,different,322,205,59,4,APDoS
192.168.9.149,same,15,20,11,1,Normal
175.218.152.208,different,449,3,0,1,DoS
197.232.147.197,different,469,289,67,2,APDoS
192.168.156.225,same,12,25,5,1,Normal
18.240.133.220,different,16,0,3,45,DrDoS
192.168.190.226,same,11,27,2,1,Normal
192.168.92.108,same,8,19,6,1,Normal
192.168.78.252,same,10,25,5,1,Normal
192.168.116.207,same,11,19,9,1,Normal
192.168.148.33,same,10,14,5,1,Normal
192.168.1.75,same,13,16,4,1,Normal
192.168.78.158,same,8,19,5,1,Normal
192.168.171.216,same,10,26,10,1,Normal
192.168.97.118,same,11,27,7,1,Normal
218.182.94.242,different,242,16,6,1,DDoS
117.9.121.38,different,605,9,5,1,DDoS
192.168.50.52,same,8,22,2,1,Normal
192.168.7.106,same,7,20,6,1,Normal
192.168.172.53,same,9,16,8,1,Normal
192.168.238.9,same,10,25,6,1,Normal
192.168.142.19,same,10,16,10,1,Normal
208.231.185.70,different,232,12,0,1,DDoS
192.168.160.202,same,8,20,4,1,Normal
192.168.90.206,same,9,21,4,1,Normal
219.145.41.41,different,503,0,4,1,DDoS
77.53.214.164,different,146,4,1,1,DoS
192.168.144.10,same,11,22,4,1,Normal
192.168.137.19,same,11,17,9,1,Normal
192.168.4.199,same,9,24,6,1,Normal
192.168.36.211,same,12,13,8,1,Normal
192.168.203.25,same,13,23,5,1,Normal
192.168.17.153,same,10,22,9,1,Normal
83.186.158.139,different,15,4,2,7,DrDoS
192.168.40.184,same,15,22,5,1,Normal
192.168.186.115,same,5,19,3,1,Normal
85.27.45.132,different,169,265,17,4,APDoS
192.168.33.20,same,9,19,3,1,Normal
192.168.208.3,same,9,28,5,1,Normal
192.168.73.222,same,15,20,2,1,Normal
192.168.56.144,same,13,18,4,1,Normal
192.168.189.170,same,10,14,5,1,Normal
192.168.126.30,same,15,13,5,1,Normal
192.168.80.87,same,13,16,4,1,Normal
192.168.28.145,same,8,19,4,1,Normal
192.168.17.45,same,11,18,4,1,Normal
230.187.53.87,different,14,3,2,40,DrDoS
192.168.163.197,same,7,23,8,1,Normal
191.43.151.125,different,424,282,12,1,APDoS
192.168.185.205,same,6,15,4,1,Normal
192.168.201.179,same,7,18,3,1,Normal
144.179.25.136,different,350,270,93,1,APDoS
103.123.192.123,different,677,13,0,1,DDoS
192.168.225.219,same,6,18,6,1,Normal
192.168.218.156,same,11,14,5,1,Normal
192.168.222.102,same,8,19,3,1,Normal
192.168.172.63,same,8,17,2,1,Normal
181.83.184.105,different,275,420,37,3,APDoS
192.168.76.227,same,6,21,6,1,Normal
192.168.209.154,same,13,20,7,1,Normal
192.168.58.214,same,14,28,5,1,Normal
37.150.176.189,different,226,5,4,1,DoS
142.143.2.137,different,96,17,9,1,DDoS
192.168.22.3,same,18,23,2,1,Normal
202.243.93.225,different,644,13,8,1,DDoS
192.168.188.246,same,7,20,6,1,Normal
54.33.238.240,different,48,3,3,38,DrDoS
192.168.134.18,same,11,18,10,1,Normal
138.49.139.92,different,290,81,42,8,APDoS
192.168.41.178,same,4,13,6,1,Normal
192.168.106.21,same,4,16,13,1,Normal
192.168.147.131,same,8,24,3,1,Normal
89.211.188.62,different,414,294,90,7,APDoS
192.168.63.188,same,13,27,5,1,Normal
113.151.12.157,different,491,9,1,1,DoS
14.98.108.162,different,450,454,76,8,APDoS
192.168.153.64,same,21,15,4,1,Normal
192.168.105.56,same,10,18,3,1,Normal
192.168.217.200,same,10,17,7,1,Normal
192.168.245.70,same,14,17,3,1,Normal
192.168.90.233,same,13,14,5,1,Normal
42.178.34.244,different,90,4,3,1,DoS
192.168.199.235,same,9,22,7,1,Normal
226.217.210.26,different,301,52,11,2,APDoS
4.240.37.103,different,119,250,61,4,APDoS
192.168.132.115,same,10,17,5,1,Normal
192.168.213.149,same,5,23,2,1,Normal
244.158.16.112,different,664,2,4,1,DDoS
192.168.164.218,same,13,17,7,1,Normal
192.168.167.37,same,6,23,3,1,Normal
9.225.230.179,different,271,1,4,1,DoS
192.168.150.41,same,11,17,4,1,Normal
192.168.61.94,same,10,23,8,1,Normal
150.8.161.187,different,459,0,3,1,DDoS
169.190.149.68,different,481,115,25,5,APDoS
192.168.247.214,same,9,23,1,1,Normal
224.156.162.209,different,381,7,3,1,DoS
170.70.105.50,different,304,407,80,1,APDoS
192.168.176.223,same,9,18,0,1,Normal
192.168.178.26,same,17,18,5,1,Normal
192.168.183.234,same,12,16,5,1,Normal
192.168.183.244,same,8,19,2,1,Normal
192.168.46.159,same,10,17,3,1,Normal
192.168.177.101,same,13,20,3,1,Normal
192.168.0.172,same,9,25,7,1,Normal
192.168.89.89,same,8,12,5,1,Normal
43.201.16.98,different,677,9,3,1,DDoS
192.168.50.60,same,13,18,7,1,Normal
134.185.242.68,different,872,2,0,1,DDoS
192.168.186.239,same,10,24,7,1,Normal
192.168.136.216,same,8,19,5,1,Normal
192.168.172.4,same,9,18,6,1,Normal
192.168.135.104,same,12,15,6,1,Normal
159.227.228.169,different,425,340,19,1,APDoS
192.168.157.44,same,9,19,7,1,Normal
192.168.218.185,same,12,19,4,1,Normal
192.168.0.46,same,17,16,4,1,Normal
39.137.212.198,different,74,1,2,18,DrDoS
192.168.200.183,same,9,22,2,1,Normal
185.212.121.161,different,72,6,2,1,DoS
192.168.233.59,same,11,15,6,1,Normal
192.168.223.154,same,12,24,3,1,Normal
38.99.163.211,different,477,8,1,1,DoS
239.9.226.61,different,496,3,3,1,DoS
193.209.3.183,different,359,14,8,1,DDoS
92.244.149.234,different,458,386,68,9,APDoS
180.75.143.101,different,25,0,4,35,DrDoS
192.168.39.219,same,11,15,3,1,Normal
51.237.55.171,different,33,1,2,6,DrDoS
151.142.117.204,different,433,284,26,2,APDoS
207.203.122.16,different,81,72,43,2,APDoS
104.125.198.161,different,373,10,3,1,DDoS
196.112.124.127,different,366,10,3,1,DDoS
174.191.80.226,different,803,15,9,1,DDoS
192.168.162.8,same,7,17,4,1,Normal
222.203.137.226,different,961,7,1,1,DDoS
99.200.209.19,different,245,375,42,6,APDoS
192.168.150.63,same,7,20,6,1,Normal
192.168.252.13,same,7,15,3,1,Normal
59.244.172.230,different,79,2,2,47,DrDoS
192.168.78.173,same,11,27,3,1,Normal
192.168.38.41,same,7,16,10,1,Normal
192.168.22.145,same,4,20,5,1,Normal
74.57.191.30,different,206,315,48,7,APDoS
192.168.168.118,same,10,19,6,1,Normal
192.168.16.54,same,4,25,3,1,Normal
192.168.135.28,same,10,25,3,1,Normal
250.116.107.176,different,78,1,3,19,DrDoS
215.140.15.222,different,473,7,0,1,DoS
192.168.226.193,same,17,17,6,1,Normal
192.168.18.231,same,10,13,6,1,Normal
192.168.65.87,same,11,16,1,1,Normal
212.147.234.136,different,58,4,3,17,DrDoS
192.168.199.139,same,9,18,5,1,Normal
192.168.74.110,same,9,22,6,1,Normal
130.226.144.201,different,341,1,7,1,DDoS
192.168.109.122,same,10,20,4,1,Normal
71.227.84.50,different,445,320,26,2,APDoS
192.168.38.230,same,11,23,7,1,Normal
88.108.58.252,different,268,8,4,1,DoS
192.168.13.51,same,8,15,4,1,Normal
192.168.238.241,same,5,13,7,1,Normal
192.168.139.116,same,12,25,7,1,Normal
119.227.154.214,different,519,16,1,1,DDoS
192.168.69.182,same,5,24,6,1,Normal
192.168.26.72,same,11,15,3,1,Normal
192.168.247.108,same,11,28,3,1,Normal
231.125.60.120,different,477,239,53,9,APDoS
192.168.10.25,same,14,21,3,1,Normal
192.168.211.37,same,15,22,7,1,Normal
92.82.16.210,different,426,6,1,1,DoS
179.41.28.66,different,173,0,0,1,DoS
159.91.234.112,different,61,3,2,24,DrDoS
14.217.211.170,different,868,10,1,1,DDoS
73.146.83.61,different,155,143,72,3,APDoS
192.168.39.253,same,12,18,4,1,Normal
84.245.149.105,different,238,70,46,6,APDoS
163.37.231.60,different,375,4,2,1,DoS
192.168.101.254,same,6,21,8,1,Normal
74.126.193.102,different,44,2,4,11,DrDoS
192.168.9.97,same,18,19,7,1,Normal
192.168.219.163,same,8,17,2,1,Normal
192.168.68.58,same,5,17,7,1,Normal
1.131.223.58,different,306,0,3,1,DoS
192.168.246.51,same,7,26,3,1,Normal
136.13.100.227,different,71,2,1,41,DrDoS
192.168.39.141,same,12,24,4,1,Normal
192.168.184.238,same,7,21,7,1,Normal
131.168.7.218,different,657,10,1,1,DDoS
192.168.78.132,same,10,22,4,1,Normal
192.168.51.111,same,11,12,5,1,Normal
192.168.83.126,same,10,19,5,1,Normal
192.168.228.84,same,6,20,3,1,Normal
202.202.37.97,different,247,4,6,1,DDoS
76.6.193.60,different,50,111,96,9,APDoS
192.168.134.115,same,12,14,7,1,Normal
56.107.94.6,different,591,4,0,1,DDoS
192.168.88.127,same,12,23,7,1,Normal
192.168.51.240,same,10,22,3,1,Normal
192.168.2.60,same,3,16,5,1,Normal
192.168.177.16,same,6,16,4,1,Normal
192.168.242.213,same,10,19,7,1,Normal
192.168.88.92,same,9,20,4,1,Normal
160.45.91.164,different,451,123,27,3,APDoS
46.182.37.206,different,435,8,4,1,DDoS
192.168.70.39,same,10,21,6,1,Normal
192.168.227.151,same,8,20,4,1,Normal
192.168.59.51,same,7,11,2,1,Normal
143.69.188.56,different,443,223,89,9,APDoS
192.168.91.3,same,8,18,8,1,Normal
192.168.209.16,same,6,25,9,1,Normal
192.168.79.41,same,11,17,3,1,Normal
192.168.45.218,same,3,23,8,1,Normal
192.168.231.215,same,8,21,4,1,Normal
192.168.218.133,same,9,20,1,1,Normal
149.193.167.56,different,935,18,3,1,DDoS
57.233.4.14,different,329,2,3,1,DoS
192.168.215.175,same,15,21,2,1,Normal
129.221.78.200,different,811,2,1,1,DDoS
192.168.212.143,same,8,22,5,1,Normal
132.219.153.68,different,65,4,5,1,DDoS
186.182.162.25,different,81,0,4,22,DrDoS
249.75.120.57,different,146,11,2,1,DDoS
192.168.103.67,same,13,23,4,1,Normal
202.228.220.6,different,88,8,3,1,DoS
55.83.57.37,different,65,375,82,5,APDoS
192.168.143.18,same,9,16,3,1,Normal
192.168.123.124,same,13,23,4,1,Normal
192.168.9.35,same,15,26,10,1,Normal
192.168.122.131,same,7,31,7,1,Normal
192.168.79.217,same,13,22,3,1,Normal
91.199.2.104,different,480,431,94,1,APDoS
192.168.177.207,same,14,19,4,1,Normal
50.166.164.63,different,238,6,4,1,DDoS
192.168.119.33,same,10,20,6,1,Normal
192.168.133.97,same,14,17,5,1,Normal
192.168.8.223,same,11,15,5,1,Normal
95.173.26.173,different,774,4,8,1,DDoS
192.168.105.47,same,7,24,10,1,Normal
192.168.143.254,same,14,34,4,1,Normal
192.168.90.170,same,11,20,5,1,Normal
78.4.178.69,different,41,4,0,37,DrDoS
196.248.221.169,different,318,3,1,1,DoS
192.168.112.97,same,17,18,3,1,Normal
192.168.56.150,same,7,21,3,1,Normal
192.168.159.4,same,11,20,5,1,Normal
23.223.217.243,different,286,253,92,3,APDoS
192.168.223.29,same,8,19,6,1,Normal
192.168.164.232,same,8,20,6,1,Normal
216.78.102.114,different,210,1,4,1,DoS
180.46.73.51,different,54,2,1,25,DrDoS
182.152.245.122,different,326,306,67,5,APDoS
192.168.70.13,same,5,18,5,1,Normal
192.168.30.81,same,6,19,7,1,Normal
69.194.159.145,different,494,155,78,6,APDoS
147.102.237.241,different,962,12,0,1,DDoS
192.168.227.109,same,10,18,5,1,Normal
192.168.43.161,same,9,19,2,1,Normal
192.168.102.227,same,10,20,5,1,Normal
230.152.154.32,different,444,4,0,1,DDoS
192.168.110.121,same,14,21,10,1,Normal
192.168.245.41,same,11,16,4,1,Normal
192.168.82.186,same,17,26,10,1,Normal
58.215.64.216,different,619,11,2,1,DDoS
192.168.189.250,same,6,28,7,1,Normal
192.168.74.196,same,13,22,8,1,Normal
192.168.80.113,same,8,25,3,1,Normal
248.175.55.172,different,190,181,82,1,APDoS
192.168.100.152,same,8,12,1,1,Normal
192.168.19.133,same,5,19,2,1,Normal
192.168.17.194,same,5,27,10,1,Normal
192.168.78.35,same,9,18,7,1,Normal
192.168.28.41,same,12,22,5,1,Normal
177.194.153.13,different,925,5,5,1,DDoS
45.173.166.197,different,767,17,3,1,DDoS
192.168.147.77,same,11,17,5,1,Normal
192.168.173.187,same,8,13,2,1,Normal
192.168.194.140,same,9,16,10,1,Normal
192.168.104.221,same,12,24,2,1,Normal
77.222.120.198,different,359,6,3,1,DoS
192.168.106.241,same,11,13,4,1,Normal
192.168.47.150,same,24,23,1,1,Normal
162.123.186.93,different,82,4,1,37,DrDoS
146.178.7.55,different,85,2,2,34,DrDoS
192.168.219.68,same,8,26,6,1,Normal
192.168.159.64,same,14,15,3,1,Normal
171.109.225.39,different,59,9,3,1,DoS
192.168.180.174,same,10,21,7,1,Normal
7.240.123.199,different,140,7,2,1,DoS
192.168.161.150,same,10,16,7,1,Normal
192.168.235.248,same,9,24,4,1,Normal
143.69.95.44,different,787,3,3,1,DDoS
117.63.203.99,different,343,7,0,1,DoS
192.168.62.11,same,13,18,10,1,Normal
173.230.172.26,different,79,2,3,7,DrDoS
13.253.248.205,different,434,302,49,5,APDoS
192.168.16.137,same,11,14,2,1,Normal
192.168.169.170,same,6,16,1,1,Normal
192.168.165.182,same,12,24,5,1,Normal
192.168.111.129,same,8,21,3,1,Normal
192.168.159.99,same,8,21,3,1,Normal
192.168.139.230,same,7,23,6,1,Normal
192.168.59.98,same,6,20,4,1,Normal
89.221.97.44,different,225,8,3,1,DDoS
192.168.162.23,same,9,19,4,1,Normal
192.168.18.245,same,10,14,5,1,Normal
192.168.72.137,same,10,19,10,1,Normal
192.168.145.37,same,8,19,6,1,Normal
192.168.199.208,same,12,23,5,1,Normal
192.168.16.47,same,13,23,2,1,Normal
192.168.163.91,same,17,27,3,1,Normal
192.168.94.47,same,8,20,9,1,Normal
192.168.135.229,same,14,20,7,1,Normal
192.168.40.48,same,14,24,3,1,Normal
214.91.180.153,different,602,2,8,1,DDoS
13.104.17.37,different,220,1,0,1,DoS
192.168.212.36,same,13,23,3,1,Normal
192.168.198.47,same,4,23,4,1,Normal
49.54.198.151,different,288,0,3,1,DoS
192.168.74.98,same,12,16,6,1,Normal
192.168.184.249,same,13,18,7,1,Normal
250.39.73.201,different,95,7,2,1,DoS
192.168.99.164,same,10,20,11,1,Normal
212.129.241.25,different,60,306,57,1,APDoS
81.29.162.114,different,68,4,0,1,DoS
76.234.254.126,different,258,183,22,7,APDoS
192.134.44.173,different,262,370,28,3,APDoS
192.168.45.29,same,3,6,4,1,Normal
192.168.90.130,same,12,22,5,1,Normal
51.57.33.187,different,30,4,0,23,DrDoS
192.168.118.85,same,8,24,6,1,Normal
192.168.248.103,same,15,19,5,1,Normal
244.147.80.212,different,781,18,2,1,DDoS
192.168.233.198,same,10,21,7,1,Normal
192.168.98.17,same,17,23,6,1,Normal
155.71.244.191,different,61,1,4,45,DrDoS
192.168.218.170,same,9,24,3,1,Normal
192.168.93.106,same,10,12,3,1,Normal
192.168.29.56,same,14,23,2,1,Normal
192.168.191.68,same,14,19,6,1,Normal
142.8.72.26,different,482,9,0,1,DoS
192.168.187.253,same,12,18,2,1,Normal
192.168.39.139,same,11,11,5,1,Normal
192.168.211.53,same,11,15,3,1,Normal
192.168.224.70,same,15,12,8,1,Normal
192.168.78.166,same,10,17,5,1,Normal
61.192.216.26,different,212,106,88,4,APDoS
230.172.166.250,different,74,2,4,30,DrDoS
